agitate,verbs
lapsing,verbs
strike,verbs
opposed,verbs
test,verbs
check,verbs
restes,verbs
beat,verbs
pick,verbs
popess,verbs
smash,verbs
maintain,verbs
sit,verbs
exploded,verbs
doing,verbs
colors,verbs
singing,verbs
lock,verbs
flowing,verbs
agreeing,verbs
rotated,verbs
gains,verbs
unite,verbs
lose,verbs
stuff,verbs
begin,verbs
convulse,verbs
thinking,verbs
scatter,verbs
lied,verbs
wishing,verbs
railing,verbs
travel,verbs
fitted,verbs
running,verbs
passing,verbs
impress,verbs
doubling,verbs
dashing,verbs
let,verbs
ordered,verbs
caught,verbs
handle,verbs
escape,verbs
score,verbs
present,verbs
screen,verbs
uprise,verbs
extended,verbs
tap,verbs
mixed,verbs
washed,verbs
pose,verbs
aiming,verbs
excusing,verbs
launch,verbs
lining,verbs
endure,verbs
involve,verbs
declare,verbs
ring,verbs
send,verbs
compose,verbs
inspired,verbs
puffing,verbs
stocking,verbs
build,verbs
bang,verbs
stuffed,verbs
pricking,verbs
leading,verbs
risen,verbs
piped,verbs
mix,verbs
reform,verbs
dash,verbs
register,verbs
firing,verbs
charge,verbs
commit,verbs
cite,verbs
crying,verbs
hanging,verbs
cradle,verbs
stoping,verbs
knowing,verbs
ragged,verbs
assuring,verbs
waver,verbs
colored,verbs
bearess,verbs
clinch,verbs
pluck,verbs
clouding,verbs
seated,verbs
catch,verbs
threw,verbs
spill,verbs
realize,verbs
leave,verbs
think,verbs
double,verbs
throw,verbs
froze,verbs
exciting,verbs
wish,verbs
spotting,verbs
lapsed,verbs
mounting,verbs
shifting,verbs
saying,verbs
serve,verbs
ruffled,verbs
minded,verbs
resolved,verbs
drive,verbs
rotate,verbs
visit,verbs
trust,verbs
squaring,verbs
frozen,verbs
stepped,verbs
said,verbs
paddling,verbs
Trying,verbs
citess,verbs
squeeze,verbs
ranged,verbs
stuck,verbs
blurred,verbs
cracked,verbs
unbent,verbs
relax,verbs
Wind,verbs
dump,verbs
switched,verbs
snapped,verbs
Pop,verbs
fixing,verbs
appear,verbs
dressed,verbs
tying,verbs
swallow,verbs
missing,verbs
climbing,verbs
prepared,verbs
growing,verbs
discover,verbs
sharpen,verbs
put,verbs
been,verbs
feel,verbs
getting,verbs
meant,verbs
engaged,verbs
raping,verbs
jog,verbs
survey,verbs
acting,verbs
minding,verbs
fix,verbs
touch,verbs
tread,verbs
ruined,verbs
eat,verbs
ported,verbs
process,verbs
pounding,verbs
subdue,verbs
freed,verbs
bid,verbs
singed,verbs
plied,verbs
swell,verbs
active,adjectives
clean,adjectives
looser,adjectives
wide,adjectives
tender,adjectives
smooth,adjectives
high,adjectives
oner,adjectives
blue,adjectives
running,adjectives
decenter,adjectives
singular,adjectives
biggest,adjectives
pure,adjectives
gentle,adjectives
greater,adjectives
out,adjectives
average,adjectives
commoner,adjectives
simpler,adjectives
double,adjectives
spare,adjectives
warm,adjectives
wronger,adjectives
frozen,adjectives
rare,adjectives
falser,adjectives
engaged,adjectives
firm,adjectives
opposite,adjectives
highest,adjectives
hot,adjectives
national,adjectives
innocent,adjectives
weak,adjectives
dead,adjectives
large,adjectives
smaller,adjectives
quick,adjectives
sound,adjectives
civil,adjectives
soft,adjectives
later,adjectives
old,adjectives
solid,adjectives
hotter,adjectives
heavy,adjectives
little,adjectives
lost,adjectives
clear,adjectives
older,adjectives
outside,adjectives
diviner,adjectives
cut,adjectives
thick,adjectives
fast,adjectives
evener,adjectives
decent,adjectives
slow,adjectives
fair,adjectives
drier,adjectives
purer,adjectives
barer,adjectives
common,adjectives
alive,adjectives
bright,adjectives
live,adjectives
minor,adjectives
silent,adjectives
natural,adjectives
long,adjectives
dull,adjectives
singler,adjectives
near,adjectives
flatter,adjectives
straight,adjectives
sour,adjectives
negative,adjectives
inactive,adjectives
higher,adjectives
clearer,adjectives
living,adjectives
obscure,adjectives
stiff,adjectives
rougher,adjectives
superior,adjectives
broken,adjectives
true,adjectives
detached,adjectives
mean,adjectives
broad,adjectives
gross,adjectives
casual,adjectives
cool,adjectives
doubler,adjectives
plain,adjectives
unsound,adjectives
poor,adjectives
faint,adjectives
hard,adjectives
outer,adjectives
last,adjectives
material,adjectives
quieter,adjectives
early,adjectives
firmer,adjectives
light,adjectives
wet,adjectives
thinner,adjectives
sparer,adjectives
grim,adjectives
awful,adjectives
smart,adjectives
laster,adjectives
worst,adjectives
fresh,adjectives
full,adjectives
dirty,adjectives
Old,adjectives
neutral,adjectives
social,adjectives
sweet,adjectives
easy,adjectives
limited,adjectives
flat,adjectives
fairer,adjectives
directer,adjectives
positive,adjectives
nearest,adjectives
righter,adjectives
serious,adjectives
latest,adjectives
open,adjectives
dry,adjectives
rich,adjectives
younger,adjectives
idler,adjectives
verbal,adjectives
inner,adjectives
idle,adjectives
strong,adjectives
Bare,adjectives
acute,adjectives
crisp,adjectives
even,adjectives
yellow,adjectives
worse,adjectives
major,adjectives
first,adjectives
certain,adjectives
still,adjectives
obscurer,adjectives
plainer,adjectives
lower,adjectives
late,adjectives
truer,adjectives
closer,adjectives
odd,adjectives
new,adjectives
quiet,adjectives
unstable,adjectives
sourer,adjectives
meaner,adjectives
duller,adjectives
divine,adjectives
shorter,adjectives
great,adjectives
severe,adjectives
raw,adjectives
white,adjectives
deep,adjectives
stiller,adjectives
awkward,adjectives
steady,adjectives
tough,adjectives
honest,adjectives
moderner,adjectives
easiest,adjectives
sounder,adjectives
cold,adjectives
deadly,adjectives
fine,adjectives
bluer,adjectives
loose,adjectives
lively,adjectives
severer,adjectives
free,adjectives
low,adjectives
Rich,adjectives
down,adjectives
dark,adjectives
base,adjectives
better,adjectives
wetter,adjectives
fuller,adjectives
freer,adjectives
right,adjectives
special,adjectives
cleaner,adjectives
cooler,adjectives
